fips,Year,pop,Total_CC,FDH,Other_CC
1,2000,3,1,0,0
1,2001,3,1,0,0
1,2002,3,1,0,0
1,2003,46,1,1,0
1,2004,46,1,1,0
1,2005,62,1,2,0
1,2006,19,1,1,0
1,2007,19,1,1,0
1,2008,19,1,1,0
2,2005,45,80,314,0
2,2006,45,94,413,0
2,2007,46,137,519,0
2,2008,47,153,610,0
2,2009,49,173,690,0
2,2010,50,199,777,0
2,2011,52,211,870,0
2,2012,52,232,942,0
2,2013,52,261,1036,0
2,2014,52,301,1168,0
2,2015,52,329,1248,0
2,2016,52,354,1338,0
2,2017,52,383,1408,0
2,2018,52,411,1485,0
2,2019,51,435,1556,0
2,2020,51,475,1609,0
2,2021,49,508,1661,0
2,2022,47,542,1710,0
2,2023,47,546,1715,0
4,2000,243,0,1,0
4,2001,252,0,1,0
4,2015,277,1,0,0
4,2016,281,1,1,0
4,2017,277,1,1,0
4,2018,279,1,1,0
4,2019,278,1,0,0
4,2020,277,1,0,0
4,2021,265,1,0,0
4,2022,259,1,0,0
4,2023,259,1,0,0
4,2024,259,1,0,0
5,2000,1,0,1,0
5,2004,2,0,1,0
5,2005,2,0,3,0
5,2006,4,0,2,0
5,2007,5,0,3,0
5,2008,3,0,2,0
6,2000,737,0,1,0
6,2001,727,0,1,0
6,2002,718,0,1,0
6,2003,713,0,1,0
6,2004,774,1,2,0
6,2005,764,1,2,0
6,2006,741,1,1,0
6,2007,729,1,1,0
6,2008,728,1,1,0
6,2009,720,1,1,0
6,2010,711,1,1,0
6,2011,712,1,1,0
6,2012,706,1,1,0
6,2013,702,1,1,0
6,2014,702,1,1,0
6,2015,855,2,1,0
6,2016,848,2,1,0
6,2017,851,2,1,0
6,2018,2480,13078,14122,2249
6,2019,2451,13295,14444,2260
6,2020,2409,13195,14499,2297
6,2021,2350,13194,14348,2290
6,2022,2258,13287,14073,2261
6,2023,2258,12832,13188,2128
6,2024,2258,12779,13056,2114
8,2004,43,16,0,0
8,2005,44,20,0,0
8,2006,43,20,0,0
8,2007,42,19,0,0
8,2008,42,14,0,0
8,2009,59,12,0,0
8,2010,60,11,0,0
8,2011,60,11,0,0
8,2012,60,11,0,0
8,2013,59,11,0,0
8,2014,59,13,0,0
8,2015,59,12,0,0
8,2016,336,1274,498,4
8,2017,334,1594,804,6
8,2018,335,1718,882,6
8,2019,333,1762,914,7
8,2020,330,1803,929,7
8,2021,324,1882,965,7
8,2022,317,1985,1086,7
8,2023,317,2008,1103,7
8,2024,317,2006,1103,7
9,2000,223,1210,1340,0
9,2001,220,1165,1498,0
9,2002,217,1140,1774,0
9,2003,216,1092,2147,0
9,2004,214,1081,2691,0
9,2005,211,1142,2905,0
9,2006,208,1195,3312,0
9,2007,207,1254,3548,0
9,2008,205,1294,3980,0
9,2009,203,1346,4328,0
9,2010,201,1372,4526,0
9,2011,198,1377,4602,0
9,2012,194,1380,4513,0
9,2013,190,1367,4317,0
9,2014,188,1309,3985,0
9,2015,186,1232,3655,0
9,2016,185,1231,3590,0
9,2017,186,1209,3512,0
9,2018,184,1145,3405,0
9,2019,183,1086,3278,0
9,2020,182,1087,3266,0
9,2021,182,1080,3247,0
10,2004,33,2,0,0
10,2005,33,2,0,0
10,2006,33,2,0,0
10,2007,34,3,0,0
10,2008,33,2,0,0
10,2009,33,2,0,0
10,2010,33,2,0,0
10,2011,33,2,0,0
10,2012,33,2,0,0
10,2013,33,2,0,0
10,2014,33,2,0,0
10,2015,32,1,0,0
10,2016,32,1,0,0
10,2017,32,1,0,0
10,2018,32,2,0,0
10,2019,54,374,496,18
10,2020,54,394,424,17
10,2021,54,404,411,17
10,2022,53,444,427,17
10,2023,53,464,438,17
10,2024,53,462,430,18
12,2001,109,0,2,0
12,2003,58,1,0,0
12,2004,207,11,1,0
12,2005,215,11,1,0
12,2006,222,12,1,0
12,2007,204,12,0,0
12,2008,275,16,0,0
12,2009,272,19,0,0
12,2010,271,20,0,0
12,2011,271,21,0,0
12,2012,272,21,0,0
12,2013,349,23,0,0
12,2014,356,25,0,0
12,2015,340,23,0,0
12,2016,345,21,0,0
12,2017,338,21,0,0
12,2018,338,19,0,0
12,2019,342,21,0,0
12,2020,1132,4473,1419,0
12,2021,1117,4888,1596,0
12,2022,1103,5404,1741,0
12,2023,1103,5487,1764,0
12,2024,301,14,0,0
13,2000,566,201,601,0
13,2001,606,542,1418,0
13,2002,625,800,2340,0
13,2003,640,1027,3532,0
13,2004,654,1129,4054,0
13,2005,667,1007,4247,0
13,2006,676,877,4811,0
13,2007,691,1004,4415,0
13,2008,697,1219,4524,0
13,2009,689,1387,4113,0
13,2010,681,1619,3181,0
13,2011,675,1795,2816,0
13,2012,667,1885,2450,0
13,2013,658,1951,2258,0
13,2014,656,1961,2067,0
13,2015,656,2009,1737,0
13,2016,659,2329,1411,0
13,2017,656,2372,1310,0
13,2018,654,2430,1237,0
13,2019,655,2493,1160,0
13,2020,650,2429,1076,0
13,2021,642,2495,1038,0
13,2022,634,2569,999,0
13,2023,634,2685,974,0
13,2024,634,2609,914,0
17,2000,657,66,129,0
17,2001,661,71,144,0
17,2002,660,72,157,0
17,2003,659,76,177,0
17,2004,658,82,193,0
17,2005,654,85,207,0
17,2006,642,90,217,0
17,2007,640,97,240,0
17,2008,636,104,267,0
17,2009,629,117,289,0
17,2010,626,123,306,0
17,2011,620,135,357,0
17,2012,612,138,410,0
17,2013,601,144,468,0
17,2014,595,150,526,0
17,2015,588,153,576,0
17,2016,581,163,589,0
17,2017,591,180,592,0
17,2018,592,189,583,0
17,2019,585,192,559,0
17,2020,574,192,552,0
17,2021,562,188,538,0
17,2022,543,184,518,0
17,2023,544,171,474,0
17,2024,299,15,0,0
18,2010,413,203,723,0
18,2011,419,390,1265,0
18,2012,416,490,1527,0
18,2013,413,564,1657,0
18,2014,415,675,1811,0
18,2015,415,803,1830,0
18,2016,416,920,1848,0
18,2017,414,1066,1948,0
18,2018,414,1166,1901,0
18,2019,415,1285,1820,0
18,2020,414,1366,1789,0
18,2021,411,1401,1775,0
18,2022,405,1437,1769,0
18,2023,405,1379,1652,0
19,2001,1,0,1,0
19,2002,1,0,1,0
19,2003,1,0,1,0
19,2004,1,0,1,0
19,2005,1,0,1,0
20,2000,111,40,52,0
20,2001,112,43,57,0
20,2002,114,46,61,0
20,2003,118,48,78,0
20,2004,119,50,92,0
20,2005,119,52,103,0
20,2006,122,54,120,0
20,2007,124,59,139,0
20,2008,127,61,150,0
20,2009,129,62,173,0
20,2010,130,66,188,0
20,2011,129,70,220,0
20,2012,128,77,263,0
20,2013,127,85,311,0
20,2014,126,90,342,0
20,2015,126,90,384,0
20,2016,125,90,432,0
20,2017,126,89,456,0
20,2018,125,90,457,0
20,2019,123,92,501,0
20,2020,121,97,531,0
20,2021,119,101,539,0
20,2022,116,95,580,0
20,2023,116,96,565,0
21,2003,7,0,1,0
21,2004,8,0,1,0
21,2005,8,0,1,0
21,2017,11,0,1,0
21,2018,11,0,1,0
21,2019,11,0,1,0
21,2020,10,0,1,0
21,2021,10,0,1,0
21,2022,10,0,1,0
21,2023,10,0,1,0
22,2000,316,2012,9177,152
22,2001,316,2052,7464,153
22,2002,318,2055,6704,156
22,2003,320,2085,7732,166
22,2004,322,2144,8477,173
22,2005,308,2129,8367,169
22,2006,288,1968,5349,163
22,2007,299,1937,5416,111
22,2008,309,1969,3532,107
22,2009,313,2005,3386,125
22,2010,313,1985,2999,131
22,2011,313,1947,2260,128
22,2012,310,1803,1683,130
22,2013,308,1707,1080,101
22,2014,309,1609,936,71
22,2015,310,1504,715,73
22,2016,310,1359,591,62
22,2017,310,1294,379,51
22,2018,309,1231,163,38
22,2019,307,1179,62,34
22,2020,304,1106,181,30
22,2021,297,1056,277,28
22,2022,289,1307,321,11
22,2023,289,1317,271,11
23,2000,70,582,1352,0
23,2001,70,877,1993,0
23,2002,70,957,2042,0
23,2003,70,975,2040,0
23,2004,70,970,2002,0
23,2005,71,970,2019,0
23,2006,70,982,2004,0
23,2007,71,972,1943,0
23,2008,71,987,1860,0
23,2009,70,971,1748,0
23,2010,69,978,1653,0
23,2011,67,953,1544,0
23,2012,66,913,1516,0
23,2013,65,924,1414,0
23,2014,65,913,1372,0
23,2015,64,927,1317,0
23,2016,65,914,1270,0
23,2017,64,900,1194,0
23,2018,64,928,1157,0
23,2019,64,954,1091,0
23,2020,63,946,1046,0
23,2021,63,948,966,0
23,2022,63,946,900,0
23,2023,63,933,800,0
24,2000,353,1962,5712,0
24,2001,354,2158,6589,0
24,2002,357,2360,7753,0
24,2003,362,2553,9237,0
24,2004,365,2727,10737,0
24,2005,366,2852,10973,0
24,2006,365,2856,10680,0
24,2007,365,2932,10517,0
24,2008,366,2951,10342,0
24,2009,365,2977,10014,0
24,2010,365,2963,9580,0
24,2011,367,2968,9036,0
24,2012,367,2958,8681,0
24,2013,366,2914,8302,0
24,2014,369,2902,8025,0
24,2015,369,2930,7662,0
24,2016,367,2910,7186,0
24,2017,366,2872,6710,0
24,2018,366,2890,6314,0
24,2019,364,2865,5958,0
24,2020,363,2831,5523,0
24,2021,363,2833,5228,0
24,2022,358,2776,4961,0
24,2023,358,2663,4442,0
25,2000,397,3403,11123,0
25,2001,395,3404,11372,0
25,2002,392,3439,11870,0
25,2003,388,3468,11551,0
25,2004,383,3522,11206,0
25,2005,377,3497,10907,0
25,2006,371,3471,10561,0
25,2007,369,3450,10251,0
25,2008,368,3469,10056,0
25,2009,367,3455,9875,0
25,2010,367,3446,9601,0
25,2011,367,3305,9323,0
25,2012,366,3132,8899,0
25,2013,364,3101,8265,0
25,2014,364,3042,7837,0
25,2015,363,3043,7377,0
25,2016,361,3017,6947,0
25,2017,362,3037,6679,0
25,2018,362,3060,6390,0
25,2019,361,3131,6054,6
25,2020,358,3146,5573,28
25,2021,357,3075,5290,29
25,2022,351,3015,5208,32
25,2023,351,2878,5137,25
25,2024,82,27,0,0
26,2000,671,673,3194,0
26,2001,669,1017,5636,0
26,2002,664,1187,7547,0
26,2003,658,1352,9184,0
26,2004,654,1524,10086,0
26,2005,646,1733,10438,0
26,2006,635,1865,9435,0
26,2007,626,1852,8511,0
26,2008,614,1926,7528,0
26,2009,601,1892,6604,0
26,2010,594,1850,6059,0
26,2011,586,1694,5435,0
26,2012,578,1712,5023,0
26,2013,574,1650,4639,0
26,2014,574,1559,4247,0
26,2015,572,1422,3846,0
26,2016,574,1314,3327,0
26,2017,571,1215,2913,0
26,2018,572,1136,2551,0
26,2019,570,1006,1903,0
26,2020,567,831,1537,0
26,2021,564,744,1112,0
26,2022,552,1778,1851,0
26,2023,552,3436,2845,0
26,2024,552,3705,2962,0
27,2003,2,0,1,0
27,2004,2,0,1,0
27,2005,2,0,1,0
28,2000,175,244,4,0
28,2001,194,437,3,0
28,2002,203,612,1,0
28,2003,204,765,2,0
28,2004,205,889,2,0
28,2005,204,981,5,0
28,2006,204,1100,5,0
28,2007,209,1234,5,0
28,2008,213,1299,2,0
28,2009,212,1390,2,0
28,2010,209,1479,0,0
28,2011,206,1508,0,0
28,2012,201,1497,0,0
28,2013,195,1460,0,0
28,2014,191,1472,0,0
28,2015,189,1462,0,0
28,2016,187,1443,0,0
28,2017,190,1532,0,0
28,2018,188,1603,0,0
28,2019,186,1594,0,0
28,2020,185,1570,0,0
28,2021,182,1587,0,0
28,2022,178,1583,0,0
28,2023,178,1570,0,0
28,2024,10,3,0,0
29,2000,155,77,97,0
29,2001,157,77,103,0
29,2002,159,86,113,0
29,2003,161,89,126,0
29,2004,156,90,136,0
29,2005,160,92,144,0
29,2006,161,94,156,0
29,2007,165,98,177,0
29,2008,166,102,192,0
29,2009,166,111,203,0
29,2010,165,118,219,0
29,2011,163,129,242,0
29,2012,161,136,273,0
29,2013,159,142,304,0
29,2014,159,151,328,0
29,2015,158,160,345,0
29,2016,158,167,362,0
29,2017,158,174,362,0
29,2018,158,178,348,0
29,2019,157,180,338,0
29,2020,157,185,332,0
29,2021,155,185,319,0
29,2022,152,179,299,0
29,2023,152,166,267,0
31,2000,111,135,266,0
31,2001,116,250,585,0
31,2002,118,407,1012,0
31,2003,121,673,1804,0
31,2004,124,733,2120,0
31,2005,126,738,2127,0
31,2006,127,732,2115,0
31,2007,128,784,2129,0
31,2008,129,813,2175,0
31,2009,130,823,2220,0
31,2010,131,851,2222,0
31,2011,131,857,2209,0
31,2012,130,869,2126,0
31,2013,130,850,1918,226
31,2014,130,673,1693,108
31,2015,131,634,1544,87
31,2016,132,632,1468,97
31,2017,130,630,1372,106
31,2018,131,586,1285,100
31,2019,130,569,1177,79
31,2020,129,511,1013,72
31,2021,128,443,900,62
31,2022,125,362,781,39
31,2023,118,218,434,5
32,2002,113,0,1,0
32,2003,117,0,1,0
32,2004,123,0,1,0
33,2000,75,156,98,0
33,2001,75,140,88,0
33,2002,75,127,70,0
33,2003,75,115,59,0
33,2004,74,103,54,0
33,2005,75,96,43,0
33,2006,75,93,38,0
33,2007,74,95,35,0
33,2008,72,110,40,0
33,2009,71,138,54,0
33,2010,69,146,74,0
33,2011,68,172,79,0
33,2012,66,164,74,0
33,2013,65,166,80,0
33,2014,64,176,72,0
33,2015,64,189,65,0
33,2016,64,183,60,0
33,2017,64,170,56,0
33,2018,64,170,49,0
33,2019,63,186,49,0
33,2020,63,148,45,0
33,2021,63,126,37,0
33,2022,61,115,41,0
33,2023,62,96,29,0
34,2004,569,3782,0,0
34,2005,563,4019,0,0
34,2006,555,4111,1,0
34,2007,551,3972,1,0
34,2008,546,3964,1,0
34,2009,541,3966,1,0
34,2010,540,3952,2,0
34,2011,539,3895,2,0
34,2012,535,3815,2,0
34,2013,530,3786,2,0
34,2014,530,3765,2,0
34,2015,526,3708,2,0
34,2016,521,3701,2,0
34,2017,526,3756,2,0
34,2018,521,4288,2225,0
34,2019,519,4373,2543,0
34,2020,518,4312,2039,0
34,2021,530,4226,1457,0
34,2022,523,4171,1377,0
34,2023,523,4029,1482,0
34,2024,523,3929,1377,0
36,2000,1236,704,7321,907
36,2001,1221,850,11714,1360
36,2002,1212,1020,14580,1545
36,2003,1204,1146,16218,1740
36,2004,1197,1254,16595,1837
36,2005,1180,1330,16597,2022
36,2006,1160,1409,16418,2188
36,2007,1156,1494,16952,2270
36,2008,1159,1560,17328,2400
36,2009,1157,1624,17932,2531
36,2010,1159,1722,18300,2564
36,2011,1170,1773,18546,2548
36,2012,1172,1817,18475,2552
36,2013,1174,1868,18440,2591
36,2014,1176,1916,18069,2903
36,2015,1172,1972,17295,2897
36,2016,1160,2016,16433,2887
36,2017,1176,2064,16177,2953
36,2018,1163,2081,15782,2989
36,2019,1154,2118,15476,2998
36,2020,1140,2154,14414,2950
36,2021,1154,2143,14127,2971
36,2022,1121,2179,14161,2986
36,2023,1121,1947,13167,2722
36,2024,589,15,0,0
37,2000,7,0,2,0
37,2001,7,0,2,0
37,2002,8,0,2,0
37,2003,8,0,2,0
37,2004,5,0,1,0
37,2005,19,1,1,0
37,2006,13,1,0,0
37,2007,14,1,0,0
37,2008,15,1,0,0
37,2009,16,1,0,0
37,2010,17,1,0,0
37,2011,17,1,0,0
37,2012,18,1,0,0
37,2013,29,1,1,0
37,2014,29,1,1,0
37,2015,29,1,1,0
37,2016,17,1,0,0
37,2017,40,7,0,0
37,2018,40,14,0,0
37,2019,40,15,0,0
37,2020,39,15,0,0
37,2021,39,10,0,0
37,2022,38,10,0,0
37,2023,38,10,0,0
37,2024,38,10,0,0
